# GRATTEN GA1102CAL DIGITAL STORAGE OSCILLOSCOPE
# Channel: CH1
# Coupling: DC
# Probe: 1X
# Demo examen de titulacion CFT Paillaco · Snocomm
# Bus 24 VDC estable. Plantilla T01. Valor de diseno 24 V.
Time,CH1
-0.100000,24.005817
-0.099500,24.001614
-0.099000,24.016768
-0.098500,23.989866
-0.098000,24.012513
-0.097500,24.026061
-0.097000,24.009468
-0.096500,24.036172
-0.096000,23.998635
-0.095500,24.025565
-0.095000,24.016858
-0.094500,24.016858
-0.094000,24.019717
-0.093500,24.009829
-0.093000,24.029068
-0.092500,24.034447
-0.092000,24.020992
-0.091500,24.002316
-0.091000,24.016530
-0.090500,24.000422
-0.090000,24.020120
-0.089500,23.998707
-0.089000,23.989273
-0.088500,23.980932
-0.088000,23.957882
-0.087500,23.982781
-0.087000,23.991251
-0.086500,23.996957
-0.086000,23.985900
-0.085500,23.986160
-0.085000,23.984388
-0.084500,23.959652
-0.084000,23.981800
-0.083500,23.979955
-0.083000,23.968653
-0.082500,23.998549
-0.082000,23.973621
-0.081500,23.983499
-0.081000,23.995866
-0.080500,24.010695
-0.080000,23.995183
-0.079500,24.001659
-0.079000,24.028391
-0.078500,23.996342
-0.078000,23.998015
-0.077500,24.015647
-0.077000,24.008939
-0.076500,24.040468
-0.076000,24.032169
-0.075500,24.030563
-0.075000,24.035021
-0.074500,24.020939
-0.074000,24.035929
-0.073500,24.010850
-0.073000,24.023558
-0.072500,24.030811
-0.072000,24.022787
-0.071500,24.034540
-0.071000,24.002587
-0.070500,24.000408
-0.070000,24.009042
-0.069500,23.997175
-0.069000,23.993615
-0.068500,23.998489
-0.068000,23.962280
-0.067500,23.989405
-0.067000,23.986144
-0.066500,23.976376
-0.066000,23.955995
-0.065500,23.969233
-0.065000,23.964939
-0.064500,24.001624
-0.064000,23.971711
-0.063500,23.977335
-0.063000,23.982394
-0.062500,23.998566
-0.062000,23.980306
-0.061500,23.977760
-0.061000,23.998193
-0.060500,24.004947
-0.060000,23.993276
-0.059500,24.010763
-0.059000,24.005559
-0.058500,24.002140
-0.058000,24.008719
-0.057500,24.017273
-0.057000,24.012724
-0.056500,24.014399
-0.056000,24.011102
-0.055500,24.017306
-0.055000,24.032607
-0.054500,24.027075
-0.054000,24.026447
-0.053500,24.022124
-0.053000,24.009513
-0.052500,24.007679
-0.052000,24.017753
-0.051500,24.010472
-0.051000,24.022568
-0.050500,24.014680
-0.050000,24.003355
-0.049500,23.966894
-0.049000,23.991470
-0.048500,24.008478
-0.048000,24.004375
-0.047500,23.997510
-0.047000,24.004396
-0.046500,23.962670
-0.046000,23.961730
-0.045500,23.957802
-0.045000,23.982731
-0.044500,23.982108
-0.044000,23.973858
-0.043500,23.976288
-0.043000,23.968119
-0.042500,23.997523
-0.042000,23.980443
-0.041500,23.974180
-0.041000,23.973472
-0.040500,23.969499
-0.040000,23.994182
-0.039500,23.994427
-0.039000,24.014338
-0.038500,24.018272
-0.038000,24.042253
-0.037500,24.032144
-0.037000,24.016319
-0.036500,24.020543
-0.036000,24.010876
-0.035500,24.036923
-0.035000,24.032709
-0.034500,24.017967
-0.034000,24.017578
-0.033500,24.015538
-0.033000,24.015424
-0.032500,24.031180
-0.032000,24.011770
-0.031500,24.018652
-0.031000,23.995282
-0.030500,23.999735
-0.030000,24.000931
-0.029500,23.991924
-0.029000,24.005462
-0.028500,23.987620
-0.028000,23.989731
-0.027500,23.973419
-0.027000,23.960420
-0.026500,23.970968
-0.026000,23.958571
-0.025500,23.975253
-0.025000,23.974585
-0.024500,23.974906
-0.024000,23.969635
-0.023500,23.979795
-0.023000,23.977464
-0.022500,23.974980
-0.022000,23.988957
-0.021500,23.967122
-0.021000,24.003891
-0.020500,23.966859
-0.020000,24.020048
-0.019500,24.005320
-0.019000,23.996006
-0.018500,24.009079
-0.018000,24.004967
-0.017500,24.014303
-0.017000,24.012693
-0.016500,24.020690
-0.016000,24.029915
-0.015500,24.015925
-0.015000,24.035425
-0.014500,24.026733
-0.014000,24.044421
-0.013500,24.029327
-0.013000,24.030220
-0.012500,24.011925
-0.012000,24.010861
-0.011500,24.020011
-0.011000,24.000874
-0.010500,24.013870
-0.010000,24.006295
-0.009500,23.973652
-0.009000,23.982170
-0.008500,23.996860
-0.008000,23.979714
-0.007500,23.982027
-0.007000,23.995210
-0.006500,23.978462
-0.006000,23.988117
-0.005500,23.988218
-0.005000,23.974707
-0.004500,23.978076
-0.004000,23.962956
-0.003500,23.955869
-0.003000,23.980698
-0.002500,23.981323
-0.002000,23.993418
-0.001500,24.003647
-0.001000,23.967297
-0.000500,24.031153
0.000000,23.983585
0.000500,23.993563
0.001000,24.022573
0.001500,23.975553
0.002000,24.023173
0.002500,24.004023
0.003000,24.025309
0.003500,24.029183
0.004000,24.022899
0.004500,24.029630
0.005000,24.029036
0.005500,24.011737
0.006000,24.010897
0.006500,24.016822
0.007000,24.006740
0.007500,24.016517
0.008000,24.023880
0.008500,24.023631
0.009000,24.007172
0.009500,24.022833
0.010000,23.993249
0.010500,24.005581
0.011000,23.984660
0.011500,23.980748
0.012000,23.984620
0.012500,23.986968
0.013000,23.970953
0.013500,23.981360
0.014000,23.955176
0.014500,23.964776
0.015000,23.963796
0.015500,23.984363
0.016000,23.981393
0.016500,23.961149
0.017000,23.990384
0.017500,24.003946
0.018000,23.960676
0.018500,24.012585
0.019000,24.023709
0.019500,23.995894
0.020000,23.989111
0.020500,24.003913
0.021000,24.013175
0.021500,24.012694
0.022000,24.021208
0.022500,24.020867
0.023000,24.011751
0.023500,24.032687
0.024000,24.042513
0.024500,24.032670
0.025000,24.045571
0.025500,24.027646
0.026000,24.031014
0.026500,24.036162
0.027000,24.027211
0.027500,24.005106
0.028000,24.005881
0.028500,24.026467
0.029000,23.997912
0.029500,24.003062
0.030000,23.996332
0.030500,24.009707
0.031000,23.984619
0.031500,23.992366
0.032000,24.002023
0.032500,23.968956
0.033000,24.005111
0.033500,23.986598
0.034000,23.968891
0.034500,23.959375
0.035000,23.978874
0.035500,23.981333
0.036000,23.962623
0.036500,23.963607
0.037000,23.959036
0.037500,23.996263
0.038000,23.984854
0.038500,23.999571
0.039000,23.994835
0.039500,23.976794
0.040000,24.015232
0.040500,24.031337
0.041000,24.021256
0.041500,24.028070
0.042000,24.015604
0.042500,23.999937
0.043000,24.003510
0.043500,24.020586
0.044000,24.027526
0.044500,24.046592
0.045000,24.018680
0.045500,24.028580
0.046000,24.051049
0.046500,24.046467
0.047000,24.046841
0.047500,24.026056
0.048000,23.991357
0.048500,24.014824
0.049000,24.003498
0.049500,24.006851
0.050000,24.013351
0.050500,23.984619
0.051000,24.002345
0.051500,24.008827
0.052000,23.988670
0.052500,23.987956
0.053000,23.986954
0.053500,23.969963
0.054000,24.007250
0.054500,23.962288
0.055000,23.967952
0.055500,23.968100
0.056000,24.002933
0.056500,23.972375
0.057000,23.969357
0.057500,23.986783
0.058000,23.995345
0.058500,23.991492
0.059000,23.990876
0.059500,23.996727
0.060000,24.000796
0.060500,24.006380
0.061000,23.995560
0.061500,24.012132
0.062000,24.013161
0.062500,24.011218
0.063000,23.992330
0.063500,24.041455
0.064000,24.043044
0.064500,24.022237
0.065000,24.036237
0.065500,24.024754
0.066000,24.021722
0.066500,24.020187
0.067000,24.030007
0.067500,24.015620
0.068000,24.024763
0.068500,24.024836
0.069000,23.996293
0.069500,24.027510
0.070000,23.981500
0.070500,24.020453
0.071000,24.004675
0.071500,23.990292
0.072000,23.994666
0.072500,23.976597
0.073000,23.978222
0.073500,24.001022
0.074000,23.965268
0.074500,23.966803
0.075000,23.977010
0.075500,23.976340
0.076000,23.977513
0.076500,23.974919
0.077000,23.975004
0.077500,23.979143
0.078000,23.981938
0.078500,23.976072
0.079000,23.976230
0.079500,23.969068
0.080000,24.004185
0.080500,24.010266
0.081000,23.996831
0.081500,23.994731
0.082000,24.018808
0.082500,24.012226
0.083000,24.019080
0.083500,24.017910
0.084000,24.017601
0.084500,24.041344
0.085000,24.034367
0.085500,24.040283
0.086000,24.028979
0.086500,24.036283
0.087000,24.028137
0.087500,23.994703
0.088000,24.030517
0.088500,24.013761
0.089000,24.010608
0.089500,23.998566
0.090000,24.021192
0.090500,24.002875
0.091000,23.973207
0.091500,23.997420
0.092000,23.997674
0.092500,24.001995
0.093000,23.999432
0.093500,23.964029
0.094000,23.982343
0.094500,23.962506
0.095000,23.999838
0.095500,23.984983
0.096000,23.936047
0.096500,23.986791
0.097000,23.981093
0.097500,23.987340
0.098000,23.979764
0.098500,24.011164
0.099000,23.978755
0.099500,24.005568
