# GRATTEN GA1102CAL DIGITAL STORAGE OSCILLOSCOPE
# Channel: CH1
# Coupling: DC
# Probe: 1X
# Demo examen de titulacion CFT Paillaco · Snocomm
# Bus 24 V con rizado 120 Hz. Plantilla T01. ripple_max 2 %.
Time,CH1
-0.100000,24.000050
-0.099500,24.424803
-0.099000,24.797660
-0.098500,25.043715
-0.098000,25.125217
-0.097500,25.093949
-0.097000,24.918989
-0.096500,24.535113
-0.096000,24.152727
-0.095500,23.674106
-0.095000,23.356200
-0.094500,23.000626
-0.094000,22.849864
-0.093500,22.857486
-0.093000,23.018791
-0.092500,23.321413
-0.092000,23.701041
-0.091500,24.151927
-0.091000,24.534746
-0.090500,24.874059
-0.090000,25.127477
-0.089500,25.129430
-0.089000,25.030383
-0.088500,24.780409
-0.088000,24.434766
-0.087500,23.997690
-0.087000,23.586680
-0.086500,23.215248
-0.086000,22.924459
-0.085500,22.839512
-0.085000,22.881918
-0.084500,23.124936
-0.084000,23.432933
-0.083500,23.835677
-0.083000,24.322843
-0.082500,24.671926
-0.082000,24.961276
-0.081500,25.106933
-0.081000,25.139309
-0.080500,24.975660
-0.080000,24.689082
-0.079500,24.270120
-0.079000,23.856302
-0.078500,23.430270
-0.078000,23.101515
-0.077500,22.893111
-0.077000,22.827950
-0.076500,22.930579
-0.076000,23.218266
-0.075500,23.563376
-0.075000,24.017028
-0.074500,24.416012
-0.074000,24.806124
-0.073500,25.024201
-0.073000,25.174493
-0.072500,25.081425
-0.072000,24.872353
-0.071500,24.538629
-0.071000,24.140013
-0.070500,23.733520
-0.070000,23.358392
-0.069500,23.045232
-0.069000,22.864892
-0.068500,22.848479
-0.068000,23.034573
-0.067500,23.368373
-0.067000,23.694003
-0.066500,24.130213
-0.066000,24.578029
-0.065500,24.847762
-0.065000,25.130725
-0.064500,25.153717
-0.064000,25.060971
-0.063500,24.802039
-0.063000,24.460291
-0.062500,23.978689
-0.062000,23.552313
-0.061500,23.234685
-0.061000,22.950243
-0.060500,22.836923
-0.060000,22.916069
-0.059500,23.104528
-0.059000,23.422310
-0.058500,23.848961
-0.058000,24.294388
-0.057500,24.666697
-0.057000,24.972925
-0.056500,25.098908
-0.056000,25.126985
-0.055500,24.967173
-0.055000,24.683523
-0.054500,24.277974
-0.054000,23.817056
-0.053500,23.456654
-0.053000,23.129434
-0.052500,22.941249
-0.052000,22.868861
-0.051500,22.961292
-0.051000,23.240269
-0.050500,23.576481
-0.050000,23.958671
-0.049500,24.430167
-0.049000,24.799153
-0.048500,25.050422
-0.048000,25.156187
-0.047500,25.101614
-0.047000,24.914398
-0.046500,24.569432
-0.046000,24.135863
-0.045500,23.721780
-0.045000,23.351750
-0.044500,23.035281
-0.044000,22.887813
-0.043500,22.854637
-0.043000,23.022302
-0.042500,23.281411
-0.042000,23.691334
-0.041500,24.145459
-0.041000,24.559142
-0.040500,24.880725
-0.040000,25.090024
-0.039500,25.167661
-0.039000,25.052849
-0.038500,24.793952
-0.038000,24.421609
-0.037500,24.003795
-0.037000,23.581456
-0.036500,23.218171
-0.036000,22.937210
-0.035500,22.852051
-0.035000,22.904640
-0.034500,23.144307
-0.034000,23.463847
-0.033500,23.860038
-0.033000,24.295613
-0.032500,24.654770
-0.032000,24.979534
-0.031500,25.152231
-0.031000,25.136499
-0.030500,24.975313
-0.030000,24.697931
-0.029500,24.278920
-0.029000,23.857459
-0.028500,23.423414
-0.028000,23.109850
-0.027500,22.912996
-0.027000,22.818743
-0.026500,22.967101
-0.026000,23.180010
-0.025500,23.564747
-0.025000,24.022406
-0.024500,24.407197
-0.024000,24.803926
-0.023500,25.035797
-0.023000,25.129006
-0.022500,25.086886
-0.022000,24.872911
-0.021500,24.572577
-0.021000,24.129480
-0.020500,23.712772
-0.020000,23.340586
-0.019500,23.012620
-0.019000,22.841164
-0.018500,22.853059
-0.018000,23.025654
-0.017500,23.338720
-0.017000,23.700241
-0.016500,24.113454
-0.016000,24.578057
-0.015500,24.856560
-0.015000,25.096860
-0.014500,25.172158
-0.014000,25.009087
-0.013500,24.821726
-0.013000,24.437814
-0.012500,24.009071
-0.012000,23.573863
