# GRATTEN GA1102CAL DIGITAL STORAGE OSCILLOSCOPE
# Channel: CH1
# Coupling: DC
# Probe: 1X
# Demo examen de titulacion CFT Paillaco · Snocomm
# Caida de bus ~21.4 V. Plantilla T01. Esperado: ATENCION.
Time,CH1
-0.100000,21.406499
-0.099500,21.457534
-0.099000,21.504081
-0.098500,21.437680
-0.098000,21.430934
-0.097500,21.401617
-0.097000,21.453336
-0.096500,21.446362
-0.096000,21.459364
-0.095500,21.380258
-0.095000,21.434486
-0.094500,21.328437
-0.094000,21.340675
-0.093500,21.396852
-0.093000,21.346087
-0.092500,21.388066
-0.092000,21.401780
-0.091500,21.446475
-0.091000,21.432316
-0.090500,21.453529
-0.090000,21.480822
-0.089500,21.460283
-0.089000,21.491923
-0.088500,21.454021
-0.088000,21.437701
-0.087500,21.401074
-0.087000,21.322820
-0.086500,21.315361
-0.086000,21.355386
-0.085500,21.339674
-0.085000,21.323246
-0.084500,21.340738
-0.084000,21.389827
-0.083500,21.387215
-0.083000,21.410261
-0.082500,21.468410
-0.082000,21.396409
-0.081500,21.469675
-0.081000,21.453217
-0.080500,21.465183
-0.080000,21.439538
-0.079500,21.410437
-0.079000,21.348031
-0.078500,21.360754
-0.078000,21.353925
-0.077500,21.330140
-0.077000,21.355666
-0.076500,21.299225
-0.076000,21.382769
-0.075500,21.381481
-0.075000,21.422194
-0.074500,21.424941
-0.074000,21.493162
-0.073500,21.507624
-0.073000,21.493865
-0.072500,21.532257
-0.072000,21.453719
-0.071500,21.458551
-0.071000,21.408556
-0.070500,21.331016
-0.070000,21.347650
-0.069500,21.305721
-0.069000,21.322759
-0.068500,21.343354
-0.068000,21.299161
-0.067500,21.387530
-0.067000,21.373580
-0.066500,21.451285
-0.066000,21.383161
-0.065500,21.512477
-0.065000,21.535016
-0.064500,21.512520
-0.064000,21.443242
-0.063500,21.439515
-0.063000,21.391171
-0.062500,21.448577
-0.062000,21.380402
-0.061500,21.358434
-0.061000,21.298563
-0.060500,21.289233
-0.060000,21.359497
-0.059500,21.379744
-0.059000,21.354628
-0.058500,21.334568
-0.058000,21.415812
-0.057500,21.430440
-0.057000,21.433791
-0.056500,21.497083
-0.056000,21.493689
-0.055500,21.498725
-0.055000,21.458513
-0.054500,21.385807
-0.054000,21.396465
-0.053500,21.348725
-0.053000,21.335630
-0.052500,21.358873
-0.052000,21.355904
-0.051500,21.291528
-0.051000,21.377082
-0.050500,21.401868
-0.050000,21.426571
-0.049500,21.453698
-0.049000,21.471987
-0.048500,21.429285
-0.048000,21.465946
-0.047500,21.509600
-0.047000,21.457674
-0.046500,21.438179
-0.046000,21.401866
-0.045500,21.388434
-0.045000,21.374396
-0.044500,21.306989
-0.044000,21.276072
-0.043500,21.287064
-0.043000,21.346851
-0.042500,21.363323
-0.042000,21.388512
-0.041500,21.393199
-0.041000,21.418389
-0.040500,21.492285
-0.040000,21.457170
-0.039500,21.485570
-0.039000,21.449088
-0.038500,21.410753
-0.038000,21.375590
-0.037500,21.379786
-0.037000,21.394071
-0.036500,21.338275
-0.036000,21.325325
-0.035500,21.328907
-0.035000,21.326145
-0.034500,21.342972
-0.034000,21.380758
-0.033500,21.417672
-0.033000,21.480884
-0.032500,21.431478
-0.032000,21.476851
-0.031500,21.515382
-0.031000,21.463700
-0.030500,21.459748
-0.030000,21.444229
-0.029500,21.455165
-0.029000,21.427200
-0.028500,21.350518
-0.028000,21.327427
-0.027500,21.351372
-0.027000,21.328340
-0.026500,21.313948
-0.026000,21.338161
-0.025500,21.351295
-0.025000,21.408533
-0.024500,21.436669
-0.024000,21.503020
-0.023500,21.456529
-0.023000,21.482442
-0.022500,21.508556
-0.022000,21.440970
-0.021500,21.419124
-0.021000,21.474790
-0.020500,21.417319
-0.020000,21.370139
-0.019500,21.354933
-0.019000,21.310247
-0.018500,21.314370
-0.018000,21.279253
-0.017500,21.341922
-0.017000,21.393163
-0.016500,21.346874
-0.016000,21.462973
-0.015500,21.427660
-0.015000,21.457852
-0.014500,21.457328
-0.014000,21.473392
-0.013500,21.417688
-0.013000,21.458195
-0.012500,21.389097
-0.012000,21.385057
-0.011500,21.324015
-0.011000,21.258317
-0.010500,21.356220
-0.010000,21.297516
-0.009500,21.348412
-0.009000,21.333284
-0.008500,21.386848
-0.008000,21.385310
-0.007500,21.494749
-0.007000,21.508568
-0.006500,21.451185
-0.006000,21.466502
-0.005500,21.424512
-0.005000,21.472383
-0.004500,21.473030
-0.004000,21.397885
-0.003500,21.316086
-0.003000,21.440924
-0.002500,21.361299
-0.002000,21.280022
-0.001500,21.342278
-0.001000,21.377384
-0.000500,21.430640
0.000000,21.416436
0.000500,21.445414
0.001000,21.450739
0.001500,21.487349
0.002000,21.419633
0.002500,21.477196
0.003000,21.460039
0.003500,21.422810
0.004000,21.415299
0.004500,21.362385
0.005000,21.383707
0.005500,21.376581
0.006000,21.349302
0.006500,21.284130
0.007000,21.358045
0.007500,21.412134
0.008000,21.373461
0.008500,21.383753
0.009000,21.398775
0.009500,21.474300
0.010000,21.485302
0.010500,21.453823
0.011000,21.429493
0.011500,21.480734
0.012000,21.445935
0.012500,21.473203
0.013000,21.399181
0.013500,21.357413
0.014000,21.325586
0.014500,21.285729
0.015000,21.360013
0.015500,21.401573
0.016000,21.359171
0.016500,21.351621
0.017000,21.434564
0.017500,21.427402
0.018000,21.479777
0.018500,21.498111
0.019000,21.493693
0.019500,21.492073
0.020000,21.357692
0.020500,21.415977
0.021000,21.407684
0.021500,21.326835
0.022000,21.347077
0.022500,21.336786
0.023000,21.279824
0.023500,21.328507
0.024000,21.306163
0.024500,21.358896
0.025000,21.420171
0.025500,21.402505
0.026000,21.449009
0.026500,21.486826
0.027000,21.501947
0.027500,21.421603
0.028000,21.452471
0.028500,21.431823
0.029000,21.391979
0.029500,21.390751
0.030000,21.286122
0.030500,21.355941
0.031000,21.334852
0.031500,21.346584
0.032000,21.370459
0.032500,21.333534
0.033000,21.338567
0.033500,21.404093
0.034000,21.447821
0.034500,21.466290
0.035000,21.440555
0.035500,21.463455
0.036000,21.460073
0.036500,21.471019
0.037000,21.422719
0.037500,21.424058
0.038000,21.328757
0.038500,21.390371
0.039000,21.406451
0.039500,21.304358
0.040000,21.327273
0.040500,21.300804
0.041000,21.339453
0.041500,21.382287
0.042000,21.393620
0.042500,21.449426
0.043000,21.464378
0.043500,21.454981
0.044000,21.480537
0.044500,21.470245
0.045000,21.397246
0.045500,21.454359
0.046000,21.406975
0.046500,21.425443
0.047000,21.353401
0.047500,21.282035
0.048000,21.327855
0.048500,21.320796
0.049000,21.313471
0.049500,21.400683
0.050000,21.444984
0.050500,21.453618
0.051000,21.428222
0.051500,21.451526
0.052000,21.479402
0.052500,21.488572
