# GRATTEN GA1102CAL DIGITAL STORAGE OSCILLOSCOPE
# Channel: CH1
# Coupling: DC
# Probe: 1X
# Demo examen de titulacion CFT Paillaco · Snocomm
# T20 CSV anterior: Ilim corta, 23.2 V. Parear con demo_05.
Time,CH1
-0.100000,23.111441
-0.099500,23.297468
-0.099000,23.529673
-0.098500,23.646080
-0.098000,23.646519
-0.097500,23.667044
-0.097000,23.517339
-0.096500,23.491729
-0.096000,23.250461
-0.095500,23.043807
-0.095000,22.830741
-0.094500,22.727569
-0.094000,22.601444
-0.093500,22.535725
-0.093000,22.627474
-0.092500,22.791935
-0.092000,22.985588
-0.091500,23.231219
-0.091000,23.449372
-0.090500,23.517329
-0.090000,23.687036
-0.089500,23.651828
-0.089000,23.653831
-0.088500,23.502048
-0.088000,23.367932
-0.087500,23.186230
-0.087000,22.970429
-0.086500,22.757540
-0.086000,22.630519
-0.085500,22.627890
-0.085000,22.583042
-0.084500,22.722653
-0.084000,22.906594
-0.083500,23.104831
-0.083000,23.257700
-0.082500,23.511106
-0.082000,23.597732
-0.081500,23.710561
-0.081000,23.721171
-0.080500,23.544821
-0.080000,23.412823
-0.079500,23.252873
-0.079000,23.086102
-0.078500,22.888050
-0.078000,22.744280
-0.077500,22.632169
-0.077000,22.619021
-0.076500,22.724591
-0.076000,22.720989
-0.075500,22.851869
-0.075000,23.178238
-0.074500,23.336748
-0.074000,23.525325
-0.073500,23.618960
-0.073000,23.643515
-0.072500,23.594195
-0.072000,23.541708
-0.071500,23.387481
-0.071000,23.237974
-0.070500,23.030288
-0.070000,22.857803
-0.069500,22.686728
-0.069000,22.666790
-0.068500,22.642852
-0.068000,22.762706
-0.067500,22.825943
-0.067000,23.042548
-0.066500,23.258430
-0.066000,23.453701
-0.065500,23.577937
-0.065000,23.651002
-0.064500,23.704595
-0.064000,23.577638
-0.063500,23.536281
-0.063000,23.260486
-0.062500,23.083861
-0.062000,22.977545
-0.061500,22.690834
-0.061000,22.674513
-0.060500,22.655366
-0.060000,22.657822
-0.059500,22.808905
-0.059000,22.845069
-0.058500,23.094649
-0.058000,23.287009
-0.057500,23.569660
-0.057000,23.578047
-0.056500,23.680257
-0.056000,23.647457
-0.055500,23.630537
-0.055000,23.466988
-0.054500,23.291154
-0.054000,23.136011
-0.053500,22.794799
-0.053000,22.788928
-0.052500,22.679301
-0.052000,22.523299
-0.051500,22.682974
-0.051000,22.823242
-0.050500,22.979568
-0.050000,23.142623
-0.049500,23.307491
-0.049000,23.512130
-0.048500,23.578283
-0.048000,23.713129
-0.047500,23.697589
-0.047000,23.591166
-0.046500,23.486760
-0.046000,23.247212
-0.045500,22.959311
-0.045000,22.867502
-0.044500,22.660940
-0.044000,22.669846
-0.043500,22.653010
-0.043000,22.707969
-0.042500,22.828398
-0.042000,23.009708
-0.041500,23.158493
-0.041000,23.407874
-0.040500,23.540344
-0.040000,23.689012
-0.039500,23.746883
-0.039000,23.708803
-0.038500,23.464118
-0.038000,23.323080
-0.037500,23.123330
-0.037000,22.884562
-0.036500,22.717990
-0.036000,22.623282
-0.035500,22.579276
-0.035000,22.588791
-0.034500,22.711504
-0.034000,22.892108
-0.033500,23.160002
-0.033000,23.253344
-0.032500,23.432076
-0.032000,23.588249
-0.031500,23.656694
-0.031000,23.635225
-0.030500,23.641581
-0.030000,23.494712
-0.029500,23.264504
-0.029000,23.102302
-0.028500,22.952832
-0.028000,22.796215
-0.027500,22.664827
-0.027000,22.598144
-0.026500,22.699677
-0.026000,22.745078
-0.025500,22.966845
-0.025000,23.181994
-0.024500,23.334696
-0.024000,23.574188
-0.023500,23.697452
-0.023000,23.677163
-0.022500,23.694320
-0.022000,23.535669
-0.021500,23.343762
-0.021000,23.278228
-0.020500,22.941473
-0.020000,22.784070
-0.019500,22.662848
-0.019000,22.619333
-0.018500,22.671063
-0.018000,22.673165
-0.017500,22.847078
-0.017000,23.033997
-0.016500,23.167643
-0.016000,23.457784
-0.015500,23.531286
-0.015000,23.669267
-0.014500,23.663286
-0.014000,23.607092
