# GRATTEN GA1102CAL DIGITAL STORAGE OSCILLOSCOPE
# Channel: CH1
# Coupling: DC
# Probe: 1X
# Demo examen de titulacion CFT Paillaco · Snocomm
# T20 CSV nuevo: mismo punto tras ajustar Ilim, 24.0 V.
Time,CH1
-0.100000,24.019414
-0.099500,24.001174
-0.099000,24.030758
-0.098500,24.025272
-0.098000,24.022017
-0.097500,24.020383
-0.097000,24.056947
-0.096500,24.044857
-0.096000,24.041894
-0.095500,24.038649
-0.095000,24.049056
-0.094500,24.078243
-0.094000,24.045521
-0.093500,24.059054
-0.093000,24.042619
-0.092500,24.033471
-0.092000,24.042563
-0.091500,24.014172
-0.091000,24.017218
-0.090500,24.025854
-0.090000,24.018453
-0.089500,24.026367
-0.089000,24.008075
-0.088500,24.000355
-0.088000,24.005661
-0.087500,23.981745
-0.087000,23.975891
-0.086500,24.005521
-0.086000,23.996317
-0.085500,23.976675
-0.085000,23.983005
-0.084500,23.983466
-0.084000,23.974957
-0.083500,23.989967
-0.083000,23.997350
-0.082500,23.998151
-0.082000,24.000807
-0.081500,24.030127
-0.081000,24.005204
-0.080500,24.031299
-0.080000,24.026825
-0.079500,24.038118
-0.079000,24.026445
-0.078500,24.028337
-0.078000,24.033548
-0.077500,24.057792
-0.077000,24.055586
-0.076500,24.064097
-0.076000,24.059858
-0.075500,24.060466
-0.075000,24.047350
-0.074500,24.057686
-0.074000,24.078661
-0.073500,24.046282
-0.073000,24.038944
-0.072500,24.044543
-0.072000,24.035681
-0.071500,24.022106
-0.071000,24.019114
-0.070500,24.017403
-0.070000,24.015953
-0.069500,24.013975
-0.069000,23.991661
-0.068500,24.010220
-0.068000,24.004003
-0.067500,23.997590
-0.067000,23.987934
-0.066500,23.994923
-0.066000,23.991271
-0.065500,23.989651
-0.065000,24.000173
-0.064500,23.982052
-0.064000,23.996512
-0.063500,23.996935
-0.063000,23.991078
-0.062500,24.003916
-0.062000,23.986076
-0.061500,23.997236
-0.061000,24.020210
-0.060500,24.007773
-0.060000,24.030796
-0.059500,24.041286
-0.059000,24.031454
-0.058500,24.038503
-0.058000,24.030411
-0.057500,24.028960
-0.057000,24.051046
-0.056500,24.042389
-0.056000,24.047701
-0.055500,24.056470
-0.055000,24.032989
-0.054500,24.050025
-0.054000,24.053203
-0.053500,24.051513
-0.053000,24.037271
-0.052500,24.040642
-0.052000,24.034842
-0.051500,24.017873
-0.051000,24.009363
-0.050500,24.036040
-0.050000,24.020714
-0.049500,24.021346
-0.049000,24.002178
-0.048500,24.005080
-0.048000,24.011117
-0.047500,23.993714
-0.047000,23.998032
-0.046500,23.975282
-0.046000,23.998856
-0.045500,23.979100
-0.045000,23.982478
-0.044500,23.993141
-0.044000,23.967357
-0.043500,23.975382
-0.043000,24.011902
-0.042500,24.007433
-0.042000,23.984645
-0.041500,24.005209
-0.041000,24.018644
-0.040500,24.038764
-0.040000,24.012994
-0.039500,24.032674
-0.039000,24.023310
-0.038500,24.019152
-0.038000,24.025309
-0.037500,24.050187
-0.037000,24.044401
-0.036500,24.039646
-0.036000,24.038866
-0.035500,24.043366
-0.035000,24.060271
-0.034500,24.059679
-0.034000,24.059171
-0.033500,24.037436
-0.033000,24.037749
-0.032500,24.043896
-0.032000,24.032143
-0.031500,24.021905
-0.031000,24.033056
