# Campana de corriente de alimentador (sintetica 50 Hz).
# No es captura 3P+N del Gratten (2 canales). Plantilla T02. In diseno 63 A.
# Ia ~ 50 A RMS: hay reserva, el prediseño pide revision de margen.
Time,Ia
0.000000,0.170090
0.000078,2.012700
0.000156,3.155493
0.000234,4.892985
0.000313,6.869451
0.000391,8.644072
0.000469,10.309681
0.000547,12.034152
0.000625,13.677367
0.000703,15.384704
0.000781,17.065026
0.000859,18.757354
0.000937,20.498039
0.001016,22.326244
0.001094,23.607783
0.001172,25.263288
0.001250,27.172455
0.001328,28.807861
0.001406,30.193453
0.001484,31.810416
0.001563,33.158732
0.001641,35.023369
0.001719,36.227634
0.001797,37.684056
0.001875,39.637209
0.001953,40.643615
0.002031,41.965011
0.002109,43.340978
0.002188,44.850504
0.002266,46.230392
0.002344,47.488617
0.002422,48.688476
0.002500,49.957062
0.002578,51.446353
0.002656,52.286060
0.002734,53.645856
0.002812,54.545724
0.002891,55.869155
0.002969,56.740819
0.003047,57.826833
0.003125,58.905571
0.003203,59.650312
0.003281,60.740644
0.003359,61.729372
0.003438,62.340190
0.003516,62.958881
0.003594,63.940878
0.003672,64.860360
0.003750,65.409724
0.003828,66.283208
0.003906,66.572182
0.003984,67.031250
0.004063,67.735787
0.004141,68.178222
0.004219,68.332182
0.004297,69.026699
0.004375,68.991376
0.004453,69.580659
0.004531,69.750644
0.004609,69.889536
0.004687,70.268534
0.004766,70.383547
0.004844,70.624707
0.004922,70.742967
0.005000,70.624479
0.005078,70.518199
0.005156,70.485054
0.005234,70.472611
0.005313,70.106996
0.005391,70.361584
0.005469,70.045694
0.005547,69.453274
0.005625,69.300646
0.005703,68.966059
0.005781,68.558384
0.005859,68.018347
0.005938,67.611691
0.006016,67.383920
0.006094,66.594636
0.006172,65.946994
0.006250,65.012223
0.006328,64.556800
0.006406,63.864811
0.006484,63.296343
0.006562,62.084655
0.006641,61.401776
0.006719,60.565809
0.006797,59.784234
0.006875,58.866526
0.006953,58.028997
0.007031,56.813701
0.007109,55.827755
0.007188,54.792529
0.007266,53.685783
0.007344,52.529832
0.007422,50.956966
0.007500,50.068638
0.007578,48.827356
0.007656,47.314183
0.007734,46.130398
0.007812,44.836852
0.007891,43.437436
0.007969,41.974254
0.008047,40.849268
0.008125,39.299613
0.008203,37.682038
0.008281,36.436425
0.008359,34.726285
0.008438,33.462589
0.008516,31.682917
0.008594,30.113270
0.008672,28.624168
0.008750,27.184812
0.008828,25.275284
0.008906,23.906604
0.008984,22.153824
0.009062,20.589069
0.009141,18.699760
0.009219,17.185510
0.009297,15.551471
0.009375,13.837279
0.009453,12.229281
