# Campana de corriente cerca de In = 63 A. Plantilla T02.
# Reserva casi agotada: conversacion de ampliar o redistribuir racks.
Time,Ia
0.000000,-0.232604
0.000078,2.144764
0.000156,4.370794
0.000234,6.328971
0.000313,8.842381
0.000391,10.182339
0.000469,12.578937
0.000547,14.917168
0.000625,16.936419
0.000703,18.897953
0.000781,21.266727
0.000859,23.000070
0.000937,24.957337
0.001016,26.929012
0.001094,29.210034
0.001172,30.893545
0.001250,32.961811
0.001328,34.827912
0.001406,36.735315
0.001484,38.926746
0.001563,40.313845
0.001641,42.520975
0.001719,43.934517
0.001797,46.393210
0.001875,47.650476
0.001953,49.597245
0.002031,51.450459
0.002109,52.997401
0.002188,54.589279
0.002266,56.369049
0.002344,57.949427
0.002422,59.409969
0.002500,61.126545
0.002578,62.648662
0.002656,63.841359
0.002734,65.552295
0.002812,66.794312
0.002891,67.793246
0.002969,69.764918
0.003047,70.334162
0.003125,71.727137
0.003203,72.790437
0.003281,73.843985
0.003359,75.427117
0.003438,76.226520
0.003516,76.965777
0.003594,77.859733
0.003672,79.338528
0.003750,79.463558
0.003828,80.721500
0.003906,81.321838
0.003984,81.999073
0.004063,82.511959
0.004141,83.044672
0.004219,83.681218
0.004297,83.904510
0.004375,84.717271
0.004453,85.104837
0.004531,85.155936
0.004609,85.440690
0.004687,85.910894
0.004766,86.036226
0.004844,85.852323
0.004922,86.156212
0.005000,86.161084
0.005078,86.881056
0.005156,86.029648
0.005234,86.150931
0.005313,85.659227
0.005391,85.502751
0.005469,85.447635
0.005547,85.141956
0.005625,84.658405
0.005703,84.194012
0.005781,83.598723
0.005859,83.012474
0.005938,82.545813
0.006016,81.570992
0.006094,81.258802
0.006172,80.618318
0.006250,79.749945
0.006328,79.057738
0.006406,78.215629
0.006484,76.889636
0.006562,76.033186
0.006641,75.185177
0.006719,73.725042
0.006797,72.697864
0.006875,71.509210
0.006953,70.435730
0.007031,69.453588
0.007109,68.188459
0.007188,66.663864
0.007266,65.616721
0.007344,63.703043
0.007422,62.814770
0.007500,60.684472
0.007578,59.707288
0.007656,57.648298
0.007734,56.457302
0.007812,54.876372
0.007891,53.129388
0.007969,51.250353
0.008047,49.625360
0.008125,47.999984
0.008203,46.380207
0.008281,44.244155
0.008359,42.268844
0.008438,40.527329
0.008516,38.735391
0.008594,36.915059
0.008672,34.895698
0.008750,33.440248
0.008828,31.154280
0.008906,29.214640
0.008984,26.710510
0.009062,25.069743
0.009141,23.252129
0.009219,21.185277
0.009297,18.938162
0.009375,16.762371
0.009453,14.593395
0.009531,13.222142
0.009609,10.870550
0.009687,8.344628
0.009766,6.647341
0.009844,4.164641
0.009922,2.299930
0.010000,-0.257918
0.010078,-2.080249
0.010156,-4.272921
0.010234,-6.439033
0.010313,-8.275161
0.010391,-10.555391
0.010469,-12.536339
0.010547,-15.041244
0.010625,-17.049637
0.010703,-18.778279
0.010781,-21.104946
0.010859,-22.821700
0.010937,-24.825030
0.011016,-27.088050
0.011094,-28.896868
0.011172,-30.751297
0.011250,-32.975499
0.011328,-34.977298
0.011406,-36.925540
0.011484,-38.637420
0.011562,-40.666174
0.011641,-42.608373
0.011719,-44.247264
0.011797,-46.227337
0.011875,-48.219695
0.011953,-49.948440
0.012031,-51.594697
0.012109,-53.168767
0.012188,-54.385191
0.012266,-56.525382
0.012344,-57.686341
0.012422,-59.180623
0.012500,-61.148599
0.012578,-62.582110
0.012656,-64.071355
0.012734,-65.525505
0.012812,-66.381411
0.012891,-68.024216
0.012969,-69.131653
0.013047,-70.689172
0.013125,-71.371155
0.013203,-73.143475
0.013281,-74.030630
0.013359,-75.250424
0.013437,-76.193786
0.013516,-77.041463
0.013594,-77.871629
0.013672,-78.845755
0.013750,-79.755909
0.013828,-80.211390
0.013906,-81.087055
0.013984,-81.939837
0.014063,-82.291927
0.014141,-83.456199
0.014219,-83.453178
0.014297,-84.223145
0.014375,-84.751403
0.014453,-85.280041
0.014531,-85.250023
0.014609,-85.223358
0.014687,-85.823270
0.014766,-86.419104
0.014844,-86.178216
0.014922,-86.159348
0.015000,-85.779613
0.015078,-86.273603
0.015156,-85.906281
0.015234,-85.958273
0.015312,-85.823384
0.015391,-85.808452
0.015469,-85.112706
0.015547,-85.019710
0.015625,-84.526481
0.015703,-83.942364
0.015781,-83.643187
0.015859,-82.597154
0.015938,-82.382071
0.016016,-81.672379
0.016094,-81.203620
0.016172,-80.436125
0.016250,-80.005212
0.016328,-79.063003
0.016406,-78.265008
0.016484,-76.888785
0.016563,-76.115075
0.016641,-74.759095
0.016719,-74.086863
0.016797,-72.967008
0.016875,-71.414038
0.016953,-70.565662
0.017031,-69.217006
0.017109,-67.970065
0.017188,-66.870108
0.017266,-65.291603
0.017344,-63.982676
0.017422,-62.342285
0.017500,-61.324713
0.017578,-59.342439
0.017656,-57.827231
0.017734,-56.398594
0.017812,-54.695470
0.017891,-52.662085
0.017969,-51.396421
0.018047,-49.475507
0.018125,-47.773919
0.018203,-46.367562
0.018281,-44.511729
0.018359,-42.168945
0.018437,-40.693862
0.018516,-38.729219
0.018594,-36.960945
0.018672,-35.142733
0.018750,-33.125784
0.018828,-30.770062
0.018906,-29.045708
0.018984,-27.065159
0.019062,-24.867961
0.019141,-22.943835
0.019219,-20.779582
0.019297,-18.575225
0.019375,-17.160016
0.019453,-14.608755
0.019531,-12.513549
0.019609,-10.158724
0.019688,-8.382933
0.019766,-6.275329
0.019844,-3.875163
0.019922,-2.049126
0.020000,-0.379448
0.020078,2.016672
0.020156,4.031814
0.020234,6.334641
0.020313,8.199755
0.020391,10.822835
0.020469,13.160672
0.020547,14.968567
0.020625,17.020539
0.020703,19.085346
0.020781,21.094029
0.020859,23.039772
0.020938,25.055885
0.021016,27.132471
0.021094,29.010717
0.021172,30.974224
0.021250,32.976867
0.021328,35.088305
0.021406,37.258775
0.021484,38.855220
0.021562,40.557423
0.021641,42.527499
0.021719,44.472647
0.021797,46.087816
0.021875,47.849308
0.021953,49.358906
0.022031,51.686646
0.022109,53.405812
0.022187,54.717035
0.022266,56.627404
0.022344,58.232477
0.022422,59.748771
0.022500,61.076612
0.022578,62.196050
0.022656,63.665810
0.022734,65.274365
0.022812,66.550310
0.022891,67.922955
0.022969,69.489759
0.023047,70.949517
0.023125,71.770958
0.023203,73.161598
0.023281,74.120400
0.023359,75.191602
0.023438,75.666084
0.023516,76.922380
0.023594,78.105996
0.023672,78.731396
0.023750,79.842808
0.023828,80.312431
0.023906,81.179477
0.023984,81.641156
0.024063,82.344775
0.024141,83.097402
0.024219,83.419674
0.024297,84.278528
0.024375,84.448888
0.024453,85.168357
0.024531,85.211744
0.024609,85.768791
0.024688,85.864795
0.024766,86.188525
0.024844,86.054621
0.024922,85.955364
0.025000,86.573480
0.025078,86.084825
0.025156,86.152482
0.025234,85.864019
0.025313,86.085623
0.025391,85.513252
0.025469,85.109020
0.025547,85.241863
0.025625,84.517330
0.025703,84.402148
0.025781,83.810096
0.025859,83.397832
0.025937,82.816162
0.026016,82.267088
0.026094,81.399411
0.026172,80.180744
0.026250,79.479834
0.026328,78.818788
0.026406,77.852288
0.026484,76.808926
0.026562,75.764662
0.026641,74.959177
0.026719,74.074825
0.026797,73.104792
0.026875,71.592854
0.026953,70.374449
0.027031,69.389961
0.027109,68.082791
0.027187,66.726720
0.027266,65.486961
0.027344,63.587660
0.027422,62.780145
0.027500,61.176950
0.027578,59.556587
0.027656,58.057750
0.027734,56.518241
0.027813,54.606832
0.027891,53.013011
0.027969,51.972425
0.028047,49.316664
0.028125,47.865702
0.028203,45.822772
0.028281,44.568257
0.028359,42.256062
0.028438,40.677433
0.028516,38.926423
0.028594,36.725705
0.028672,34.793817
0.028750,33.240719
0.028828,31.093574
0.028906,29.228247
0.028984,27.177565
0.029063,24.784371
0.029141,23.123790
0.029219,20.949043
0.029297,18.959454
0.029375,16.647213
0.029453,14.523758
0.029531,12.382175
0.029609,10.713662
0.029687,8.438009
0.029766,6.239607
0.029844,4.082018
0.029922,2.113546
0.030000,0.426457
0.030078,-2.239522
0.030156,-4.134257
0.030234,-6.434965
0.030312,-8.339451
0.030391,-10.578818
0.030469,-12.429244
0.030547,-14.929838
0.030625,-16.691453
0.030703,-18.997216
0.030781,-20.729309
0.030859,-22.505405
0.030937,-24.933840
0.031016,-27.155876
0.031094,-28.960885
0.031172,-30.895531
0.031250,-32.937923
0.031328,-34.943317
0.031406,-37.195189
0.031484,-38.645303
0.031563,-40.513565
0.031641,-42.506398
0.031719,-44.184285
0.031797,-46.158576
0.031875,-47.755860
0.031953,-49.858566
0.032031,-51.725577
0.032109,-53.078652
0.032188,-54.823214
0.032266,-56.444145
0.032344,-57.959182
0.032422,-59.351054
0.032500,-60.961498
0.032578,-62.483622
0.032656,-63.845123
0.032734,-64.819806
0.032813,-66.958010
0.032891,-68.167997
0.032969,-68.929704
0.033047,-70.404296
0.033125,-71.657557
0.033203,-72.973524
0.033281,-74.069791
0.033359,-75.224341
0.033438,-76.079249
0.033516,-77.151056
0.033594,-77.717829
0.033672,-79.227969
0.033750,-79.716484
0.033828,-80.133019
0.033906,-81.115256
0.033984,-82.016752
0.034063,-82.592688
0.034141,-83.246794
0.034219,-83.802714
0.034297,-84.290682
0.034375,-84.486771
0.034453,-84.579535
0.034531,-84.986131
0.034609,-85.933296
0.034688,-85.989655
0.034766,-85.927657
0.034844,-86.297795
0.034922,-86.330413
0.035000,-86.139852
0.035078,-86.321026
0.035156,-85.940329
0.035234,-86.041920
0.035312,-85.529520
0.035391,-85.619672
0.035469,-85.277944
0.035547,-85.031226
0.035625,-84.604182
0.035703,-84.227132
0.035781,-83.719497
0.035859,-82.948875
0.035937,-82.525440
0.036016,-81.915918
0.036094,-81.240404
0.036172,-80.423652
0.036250,-79.955407
0.036328,-79.084552
0.036406,-78.071221
0.036484,-76.901405
0.036562,-76.170121
0.036641,-74.961361
0.036719,-74.049336
0.036797,-73.023196
0.036875,-71.666512
0.036953,-70.575540
0.037031,-69.568081
0.037109,-68.091412
0.037187,-66.667677
0.037266,-65.340461
0.037344,-63.849395
0.037422,-62.602450
0.037500,-61.410466
0.037578,-59.330006
0.037656,-57.911430
0.037734,-56.354430
0.037812,-54.879649
0.037891,-53.024205
0.037969,-51.155879
0.038047,-49.387084
0.038125,-47.814790
0.038203,-46.363999
0.038281,-44.391474
0.038359,-42.771964
0.038437,-40.767833
0.038516,-38.653474
0.038594,-37.010805
0.038672,-34.971467
0.038750,-32.703749
0.038828,-31.097913
0.038906,-28.934269
0.038984,-26.917352
0.039062,-25.095950
0.039141,-23.012742
0.039219,-21.350698
0.039297,-18.580296
0.039375,-16.539342
0.039453,-14.557796
0.039531,-12.620370
0.039609,-10.784514
0.039688,-8.053602
0.039766,-6.683759
0.039844,-4.350964
0.039922,-1.959435
