# Tres corrientes de fase (sintetico). El Gratten GA1102CAL no captura 3P a la vez.
# Plantilla T09. Formulario: Ia 20 A, Ib 12 A, Ic 19 A, desequilibrio max 10 %.
Time,Ia,Ib,Ic
0.000000,-0.106689,-14.767413,23.151956
0.000078,0.739178,-14.773157,22.879846
0.000156,1.282108,-15.086773,22.543567
0.000234,1.942211,-15.300478,22.279515
0.000313,2.730094,-15.443714,21.767878
0.000391,3.454038,-15.598489,21.553789
0.000469,4.123491,-15.869724,20.985619
0.000547,4.661091,-16.147545,20.695576
0.000625,5.521159,-16.047133,20.188799
0.000703,6.001195,-16.217531,19.741175
0.000781,6.980111,-16.295235,19.297986
0.000859,7.537150,-16.435312,18.947626
0.000937,8.340877,-16.580687,18.290710
0.001016,8.789656,-16.589136,17.829288
0.001094,9.562198,-16.767010,17.367530
0.001172,10.067420,-16.673390,16.838040
0.001250,10.983064,-16.695080,16.333012
0.001328,11.419765,-16.826325,15.881798
0.001406,12.224563,-16.860826,15.237958
0.001484,12.606268,-16.737477,14.818936
0.001563,13.411130,-16.974880,14.143953
0.001641,13.904739,-17.027439,13.673395
0.001719,14.565089,-16.946949,12.949300
0.001797,15.219208,-16.776943,12.320669
0.001875,15.614212,-16.983239,11.805975
0.001953,16.202207,-16.967054,11.377953
0.002031,16.708130,-16.877004,10.775194
0.002109,17.463702,-16.837482,10.156344
0.002188,17.911959,-16.813802,9.362886
0.002266,18.519898,-16.749734,8.713354
0.002344,19.235117,-16.477998,8.216514
0.002422,19.598327,-16.356132,7.562648
0.002500,19.923633,-16.457366,6.786445
0.002578,20.653671,-16.295921,6.406005
0.002656,21.053144,-16.184482,5.663348
0.002734,21.460286,-15.913551,5.087798
0.002812,21.909914,-15.967540,4.428442
0.002891,22.254592,-15.697963,3.579154
0.002969,22.855368,-15.682066,3.157012
0.003047,23.058015,-15.370425,2.361594
0.003125,23.331445,-15.082172,1.885435
0.003203,23.802743,-14.972652,1.104318
0.003281,24.359601,-14.583652,0.499893
0.003359,24.585436,-14.673319,-0.269031
0.003438,24.950773,-14.423432,-0.923500
0.003516,25.381503,-14.100119,-1.729450
0.003594,25.719224,-13.916543,-2.133350
0.003672,25.935767,-13.740144,-2.903991
0.003750,26.140612,-13.512422,-3.467663
0.003828,26.333300,-13.412212,-4.069011
0.003906,26.805554,-12.947117,-4.782261
0.003984,26.919192,-12.673258,-5.467797
0.004063,26.927010,-12.599118,-6.090619
0.004141,27.391850,-12.145489,-6.702628
0.004219,27.412160,-11.719318,-7.245742
0.004297,27.601517,-11.673219,-8.120000
0.004375,27.796599,-11.210972,-8.525086
0.004453,27.939990,-10.851231,-9.164427
0.004531,27.924456,-10.499151,-9.933518
0.004609,27.989531,-10.181179,-10.520546
0.004687,28.196529,-10.010643,-11.046996
0.004766,28.211343,-9.425007,-11.598234
0.004844,28.223820,-9.190977,-12.278593
0.004922,28.374570,-8.865979,-12.963114
0.005000,28.063940,-8.541271,-13.452569
0.005078,28.385795,-8.100772,-13.799973
0.005156,28.184639,-7.805102,-14.622996
0.005234,28.223462,-7.449469,-15.137504
0.005313,28.045226,-7.107103,-15.592045
0.005391,28.150188,-6.483340,-16.172796
0.005469,27.789418,-6.397389,-16.561116
0.005547,27.840717,-5.843590,-17.150369
0.005625,27.757480,-5.426449,-17.711478
0.005703,27.545926,-5.010749,-18.320081
0.005781,27.340193,-4.598654,-18.691347
0.005859,27.077638,-4.272603,-19.106348
0.005938,27.195685,-4.029914,-19.550941
0.006016,26.787434,-3.320969,-20.038902
0.006094,26.615731,-2.931265,-20.520605
0.006172,26.262197,-2.770012,-20.881539
0.006250,26.017684,-2.280730,-21.328610
0.006328,25.981848,-1.716098,-21.706109
0.006406,25.749692,-1.505824,-21.858673
0.006484,25.377694,-1.009113,-22.304681
0.006562,25.103674,-0.520385,-22.657810
0.006641,24.547600,0.062765,-23.120281
0.006719,24.112897,0.103806,-23.552792
0.006797,23.840807,0.630806,-23.843225
0.006875,23.496179,1.357000,-24.022151
0.006953,23.098253,1.479316,-24.502566
0.007031,22.715706,1.935190,-24.623581
0.007109,22.409784,2.342700,-25.011716
0.007188,21.947834,2.627390,-25.186883
0.007266,21.697021,3.290468,-25.356841
0.007344,20.987875,3.594620,-25.482265
0.007422,20.398744,4.097536,-25.749139
0.007500,20.057732,4.391055,-25.904720
0.007578,19.412308,4.668170,-26.070916
0.007656,18.955336,5.115639,-26.196456
0.007734,18.510170,5.559296,-26.379407
0.007812,18.014929,6.060752,-26.402996
0.007891,17.250616,6.362005,-26.444103
0.007969,16.800706,6.770001,-26.587876
0.008047,16.314827,7.251793,-26.809517
0.008125,15.647515,7.647438,-26.971979
0.008203,15.299681,7.791969,-26.902583
0.008281,14.451162,8.216017,-26.819997
0.008359,13.947044,8.626339,-26.987329
0.008438,13.473884,8.871340,-26.878056
0.008516,12.851487,9.343030,-26.942675
0.008594,12.039062,9.605432,-26.725412
0.008672,11.385727,10.140066,-26.797562
0.008750,10.949310,10.211849,-26.500372
0.008828,10.382964,10.604872,-26.544223
0.008906,9.571711,10.761500,-26.746492
0.008984,8.781974,11.178515,-26.246604
0.009062,8.257631,11.689975,-25.982660
0.009141,7.509231,11.962338,-26.066109
0.009219,6.967336,12.241452,-25.825359
