# GRATTEN GA1102CAL DIGITAL STORAGE OSCILLOSCOPE
# Channel: CH1=Va, CH2=Ia
# Coupling: DC
# Probe: 1X
# Demo examen de titulacion CFT Paillaco · Snocomm
# Dump de 2 canales ya mapeado: Va=CH1 bus 24 V, Ia=CH2 ~1.2 A. Plantilla T19 o T01.
Time,Va,Ia
-0.100000,24.005817,1.192529
-0.099500,24.001614,1.223248
-0.099000,24.016768,1.234078
-0.098500,23.989866,1.226575
-0.098000,24.012513,1.238097
-0.097500,24.026061,1.225121
-0.097000,24.009468,1.221376
-0.096500,24.036172,1.212086
-0.096000,23.998635,1.190236
-0.095500,24.025565,1.196110
-0.095000,24.016858,1.183229
-0.094500,24.016858,1.183396
-0.094000,24.019717,1.171872
-0.093500,24.009829,1.162092
-0.093000,24.029068,1.165809
-0.092500,24.034447,1.191028
-0.092000,24.020992,1.181054
-0.091500,24.002316,1.194544
-0.091000,24.016530,1.207505
-0.090500,24.000422,1.218484
-0.090000,24.020120,1.247547
-0.089500,23.998707,1.223705
-0.089000,23.989273,1.246292
-0.088500,23.980932,1.218467
-0.088000,23.957882,1.204294
-0.087500,23.982781,1.195867
-0.087000,23.991251,1.197256
-0.086500,23.996957,1.172660
-0.086000,23.985900,1.168922
-0.085500,23.986160,1.154823
-0.085000,23.984388,1.157806
-0.084500,23.959652,1.167477
-0.084000,23.981800,1.174334
-0.083500,23.979955,1.200185
-0.083000,23.968653,1.217920
-0.082500,23.998549,1.209662
-0.082000,23.973621,1.244770
-0.081500,23.983499,1.237315
-0.081000,23.995866,1.225463
-0.080500,24.010695,1.233875
-0.080000,23.995183,1.217108
-0.079500,24.001659,1.196550
-0.079000,24.028391,1.192262
-0.078500,23.996342,1.193125
-0.078000,23.998015,1.159706
-0.077500,24.015647,1.168233
-0.077000,24.008939,1.157175
-0.076500,24.040468,1.164286
-0.076000,24.032169,1.163328
-0.075500,24.030563,1.183373
-0.075000,24.035021,1.208512
-0.074500,24.020939,1.204050
-0.074000,24.035929,1.210509
-0.073500,24.010850,1.228007
-0.073000,24.023558,1.244352
-0.072500,24.030811,1.241867
-0.072000,24.022787,1.230319
-0.071500,24.034540,1.218368
-0.071000,24.002587,1.208737
-0.070500,24.000408,1.187059
-0.070000,24.009042,1.174935
-0.069500,23.997175,1.156660
-0.069000,23.993615,1.158241
-0.068500,23.998489,1.180003
-0.068000,23.962280,1.162318
-0.067500,23.989405,1.175990
-0.067000,23.986144,1.176099
-0.066500,23.976376,1.209386
-0.066000,23.955995,1.215260
-0.065500,23.969233,1.226559
-0.065000,23.964939,1.230068
-0.064500,24.001624,1.251493
-0.064000,23.971711,1.232118
-0.063500,23.977335,1.229800
-0.063000,23.982394,1.221164
-0.062500,23.998566,1.187793
-0.062000,23.980306,1.178244
-0.061500,23.977760,1.179238
-0.061000,23.998193,1.159560
-0.060500,24.004947,1.166657
-0.060000,23.993276,1.162580
-0.059500,24.010763,1.177779
-0.059000,24.005559,1.178504
-0.058500,24.002140,1.199029
-0.058000,24.008719,1.201655
-0.057500,24.017273,1.223265
-0.057000,24.012724,1.234343
-0.056500,24.014399,1.252658
-0.056000,24.011102,1.237364
-0.055500,24.017306,1.225550
-0.055000,24.032607,1.220481
-0.054500,24.027075,1.207082
-0.054000,24.026447,1.196595
-0.053500,24.022124,1.175386
-0.053000,24.009513,1.164902
-0.052500,24.007679,1.156518
-0.052000,24.017753,1.158595
-0.051500,24.010472,1.176869
-0.051000,24.022568,1.169617
-0.050500,24.014680,1.191565
-0.050000,24.003355,1.190949
-0.049500,23.966894,1.210266
-0.049000,23.991470,1.233280
-0.048500,24.008478,1.240787
-0.048000,24.004375,1.248583
-0.047500,23.997510,1.235829
-0.047000,24.004396,1.225036
-0.046500,23.962670,1.218020
-0.046000,23.961730,1.212646
-0.045500,23.957802,1.186022
-0.045000,23.982731,1.181553
-0.044500,23.982108,1.183756
-0.044000,23.973858,1.155953
-0.043500,23.976288,1.168382
-0.043000,23.968119,1.163508
-0.042500,23.997523,1.173755
-0.042000,23.980443,1.191540
-0.041500,23.974180,1.211846
-0.041000,23.973472,1.227102
-0.040500,23.969499,1.237388
-0.040000,23.994182,1.235802
-0.039500,23.994427,1.233784
-0.039000,24.014338,1.235001
-0.038500,24.018272,1.228779
-0.038000,24.042253,1.215839
-0.037500,24.032144,1.205119
-0.037000,24.016319,1.165596
-0.036500,24.020543,1.171389
-0.036000,24.010876,1.162985
-0.035500,24.036923,1.153184
-0.035000,24.032709,1.156948
-0.034500,24.017967,1.161451
-0.034000,24.017578,1.196759
-0.033500,24.015538,1.199034
-0.033000,24.015424,1.214389
-0.032500,24.031180,1.205821
-0.032000,24.011770,1.227993
-0.031500,24.018652,1.241709
-0.031000,23.995282,1.235267
-0.030500,23.999735,1.239616
-0.030000,24.000931,1.219253
-0.029500,23.991924,1.203558
-0.029000,24.005462,1.206607
-0.028500,23.987620,1.180113
-0.028000,23.989731,1.161814
-0.027500,23.973419,1.165877
-0.027000,23.960420,1.163023
-0.026500,23.970968,1.152864
-0.026000,23.958571,1.161724
-0.025500,23.975253,1.176980
-0.025000,23.974585,1.185759
-0.024500,23.974906,1.206163
-0.024000,23.969635,1.226322
-0.023500,23.979795,1.235062
-0.023000,23.977464,1.239119
-0.022500,23.974980,1.231228
-0.022000,23.988957,1.227184
-0.021500,23.967122,1.207021
-0.021000,24.003891,1.205880
-0.020500,23.966859,1.187163
-0.020000,24.020048,1.170149
-0.019500,24.005320,1.167641
-0.019000,23.996006,1.164015
-0.018500,24.009079,1.163125
-0.018000,24.004967,1.163680
-0.017500,24.014303,1.181417
-0.017000,24.012693,1.197005
-0.016500,24.020690,1.213412
-0.016000,24.029915,1.210717
-0.015500,24.015925,1.220809
-0.015000,24.035425,1.251298
-0.014500,24.026733,1.210759
-0.014000,24.044421,1.239614
-0.013500,24.029327,1.237487
-0.013000,24.030220,1.209371
-0.012500,24.011925,1.189457
-0.012000,24.010861,1.192213
-0.011500,24.020011,1.169676
-0.011000,24.000874,1.152591
-0.010500,24.013870,1.155122
-0.010000,24.006295,1.159874
-0.009500,23.973652,1.166142
-0.009000,23.982170,1.168496
-0.008500,23.996860,1.208285
-0.008000,23.979714,1.204009
-0.007500,23.982027,1.238228
-0.007000,23.995210,1.238939
-0.006500,23.978462,1.230575
-0.006000,23.988117,1.238148
-0.005500,23.988218,1.235107
-0.005000,23.974707,1.214081
-0.004500,23.978076,1.219413
-0.004000,23.962956,1.194733
-0.003500,23.955869,1.172096
-0.003000,23.980698,1.172428
-0.002500,23.981323,1.170133
-0.002000,23.993418,1.157615
-0.001500,24.003647,1.162270
-0.001000,23.967297,1.183661
-0.000500,24.031153,1.181118
0.000000,23.983585,1.209946
0.000500,23.993563,1.233514
0.001000,24.022573,1.221284
0.001500,23.975553,1.225758
0.002000,24.023173,1.248047
0.002500,24.004023,1.231497
0.003000,24.025309,1.236408
0.003500,24.029183,1.205631
0.004000,24.022899,1.198877
0.004500,24.029630,1.206864
0.005000,24.029036,1.178345
0.005500,24.011737,1.166074
0.006000,24.010897,1.162624
0.006500,24.016822,1.171507
0.007000,24.006740,1.166570
0.007500,24.016517,1.172529
0.008000,24.023880,1.205996
0.008500,24.023631,1.208782
0.009000,24.007172,1.216359
0.009500,24.022833,1.232004
0.010000,23.993249,1.230238
0.010500,24.005581,1.250923
0.011000,23.984660,1.236380
0.011500,23.980748,1.228694
0.012000,23.984620,1.205274
0.012500,23.986968,1.186706
0.013000,23.970953,1.184092
0.013500,23.981360,1.175250
0.014000,23.955176,1.173160
0.014500,23.964776,1.167521
0.015000,23.963796,1.157510
0.015500,23.984363,1.181983
0.016000,23.981393,1.176100
0.016500,23.961149,1.209110
0.017000,23.990384,1.206205
0.017500,24.003946,1.217594
0.018000,23.960676,1.235636
0.018500,24.012585,1.233667
0.019000,24.023709,1.245434
0.019500,23.995894,1.240397
0.020000,23.989111,1.230669
0.020500,24.003913,1.207091
0.021000,24.013175,1.200762
0.021500,24.012694,1.181827
0.022000,24.021208,1.168563
0.022500,24.020867,1.160996
0.023000,24.011751,1.153082
0.023500,24.032687,1.161067
0.024000,24.042513,1.180475
0.024500,24.032670,1.181292
0.025000,24.045571,1.189575
0.025500,24.027646,1.197316
0.026000,24.031014,1.248900
0.026500,24.036162,1.241181
0.027000,24.027211,1.254669
0.027500,24.005106,1.235645
0.028000,24.005881,1.220360
0.028500,24.026467,1.222968
0.029000,23.997912,1.200924
0.029500,24.003062,1.181167
0.030000,23.996332,1.181934
0.030500,24.009707,1.173362
0.031000,23.984619,1.156112
0.031500,23.992366,1.162629
0.032000,24.002023,1.167735
0.032500,23.968956,1.173350
0.033000,24.005111,1.184195
0.033500,23.986598,1.209126
0.034000,23.968891,1.229862
0.034500,23.959375,1.230453
0.035000,23.978874,1.228217
0.035500,23.981333,1.243373
0.036000,23.962623,1.235443
0.036500,23.963607,1.240329
0.037000,23.959036,1.233309
0.037500,23.996263,1.196186
0.038000,23.984854,1.184112
0.038500,23.999571,1.172767
0.039000,23.994835,1.163637
0.039500,23.976794,1.167660
0.040000,24.015232,1.168356
0.040500,24.031337,1.165406
0.041000,24.021256,1.190006
0.041500,24.028070,1.198998
0.042000,24.015604,1.206317
0.042500,23.999937,1.224301
0.043000,24.003510,1.220919
0.043500,24.020586,1.233966
0.044000,24.027526,1.234590
0.044500,24.046592,1.248456
0.045000,24.018680,1.217567
0.045500,24.028580,1.207281
0.046000,24.051049,1.191193
0.046500,24.046467,1.185586
0.047000,24.046841,1.166731
0.047500,24.026056,1.167494
0.048000,23.991357,1.174290
0.048500,24.014824,1.161840
0.049000,24.003498,1.166016
0.049500,24.006851,1.171797
0.050000,24.013351,1.198155
0.050500,23.984619,1.208067
0.051000,24.002345,1.222784
0.051500,24.008827,1.229070
0.052000,23.988670,1.240762
0.052500,23.987956,1.251063
0.053000,23.986954,1.229277
0.053500,23.969963,1.217669
0.054000,24.007250,1.198708
0.054500,23.962288,1.194801
0.055000,23.967952,1.166380
0.055500,23.968100,1.166054
0.056000,24.002933,1.158987
0.056500,23.972375,1.172935
0.057000,23.969357,1.174315
0.057500,23.986783,1.161022
0.058000,23.995345,1.193113
0.058500,23.991492,1.213817
0.059000,23.990876,1.236137
0.059500,23.996727,1.250146
0.060000,24.000796,1.246644
0.060500,24.006380,1.249613
0.061000,23.995560,1.229746
0.061500,24.012132,1.228492
0.062000,24.013161,1.207349
0.062500,24.011218,1.207361
0.063000,23.992330,1.188303
0.063500,24.041455,1.176202
0.064000,24.043044,1.176328
0.064500,24.022237,1.152013
0.065000,24.036237,1.155255
0.065500,24.024754,1.164173
0.066000,24.021722,1.173841
0.066500,24.020187,1.197594
0.067000,24.030007,1.215533
0.067500,24.015620,1.247573
0.068000,24.024763,1.238937
0.068500,24.024836,1.260386
0.069000,23.996293,1.237771
0.069500,24.027510,1.228435
0.070000,23.981500,1.215782
0.070500,24.020453,1.215469
0.071000,24.004675,1.201747
0.071500,23.990292,1.190392
0.072000,23.994666,1.174949
0.072500,23.976597,1.151398
0.073000,23.978222,1.161016
0.073500,24.001022,1.154854
0.074000,23.965268,1.170974
0.074500,23.966803,1.174887
0.075000,23.977010,1.203825
0.075500,23.976340,1.227350
0.076000,23.977513,1.239556
0.076500,23.974919,1.246988
0.077000,23.975004,1.240684
0.077500,23.979143,1.243045
0.078000,23.981938,1.229397
0.078500,23.976072,1.209764
0.079000,23.976230,1.200429
0.079500,23.969068,1.198332
0.080000,24.004185,1.175579
0.080500,24.010266,1.151375
0.081000,23.996831,1.181547
0.081500,23.994731,1.158933
0.082000,24.018808,1.159190
0.082500,24.012226,1.170282
0.083000,24.019080,1.192024
0.083500,24.017910,1.200278
0.084000,24.017601,1.206193
0.084500,24.041344,1.229577
0.085000,24.034367,1.243718
0.085500,24.040283,1.231973
0.086000,24.028979,1.231936
0.086500,24.036283,1.241053
0.087000,24.028137,1.218525
0.087500,23.994703,1.199071
0.088000,24.030517,1.190622
0.088500,24.013761,1.160897
0.089000,24.010608,1.161129
0.089500,23.998566,1.167505
0.090000,24.021192,1.157467
0.090500,24.002875,1.180300
0.091000,23.973207,1.179152
0.091500,23.997420,1.197840
0.092000,23.997674,1.201423
0.092500,24.001995,1.216134
0.093000,23.999432,1.227368
0.093500,23.964029,1.246648
0.094000,23.982343,1.234706
0.094500,23.962506,1.234768
0.095000,23.999838,1.222791
0.095500,23.984983,1.203914
0.096000,23.936047,1.188501
0.096500,23.986791,1.186779
0.097000,23.981093,1.161549
0.097500,23.987340,1.162674
0.098000,23.979764,1.159892
0.098500,24.011164,1.157487
0.099000,23.978755,1.173223
0.099500,24.005568,1.187952
