id;nombre;tipo;semana_inicio;semana_fin;fecha_inicio;fecha_fin;duracion_sem;predecesoras;avance_pct;estado
F0;F0  Gestión del TPA;summary;1;26;2026-06-08;2026-12-06;26;—;86;En curso
0.1;Kickoff, problema y alcance académico;task;1;2;2026-06-08;2026-06-21;2;—;100;Completada
0.2;Revisión normativa IEC 61439 / RIC / IEC 62477;task;1;4;2026-06-08;2026-07-05;4;0.1;100;Completada
0.3;EDT, riesgos y carta Gantt (documento vivo);task;2;11;2026-06-15;2026-08-23;10;0.1;100;Completada
F1;F1  Arquitectura de software de borde;summary;2;6;2026-06-15;2026-07-19;5;0.1;100;Completada
1.1;Tres procesos IPC, config y supervisory;task;2;4;2026-06-15;2026-07-05;3;0.1;100;Completada
1.2;Docker, abstracción ADC y memoria compartida;task;3;6;2026-06-22;2026-07-19;4;1.1;100;Completada
F2;F2  Preingeniería TAN (IEC 61439);summary;3;8;2026-06-22;2026-08-02;6;0.2;100;Completada
2.1;Cálculos I, Icw/Icc, calentamiento y forma;task;3;5;2026-06-22;2026-07-12;3;0.2;100;Completada
2.2;CLI, catálogo XL3 y expediente Excel/PDF;task;5;7;2026-07-06;2026-07-26;3;2.1;100;Completada
2.3;Pruebas de cálculos y reglas TAN;task;6;8;2026-07-13;2026-08-02;3;2.2;100;Completada
F3;F3  DSP 3P+N sobre señales patrón;summary;5;10;2026-07-06;2026-08-16;6;1.1;100;Completada
3.1;Generador de señales patrón 50 Hz 3P+N;task;5;7;2026-07-06;2026-07-26;3;1.1;100;Completada
3.2;Clarke ab0, SRF-PLL y extracción H3/H5/H7;task;6;9;2026-07-13;2026-08-09;4;3.1;100;Completada
3.3;Pruebas DSP y THDi académico Ih/I1;task;8;10;2026-07-27;2026-08-16;3;3.2;100;Completada
F4;F4  Operador, SCADA y proyecto común;summary;7;11;2026-07-20;2026-08-23;5;3.2;100;Completada
4.1;Dashboard Monitor AHF y telemetría;task;7;10;2026-07-20;2026-08-16;4;3.2;100;Completada
4.2;Vista TAN e importación CSV/JSON de campaña;task;9;11;2026-08-03;2026-08-23;3;"2.2; 4.1";100;Completada
4.3;Modbus TLS, InfluxDB y proyecto THDi-TAN;task;8;11;2026-07-27;2026-08-23;4;4.1;100;Completada
F5;F5  SIL / HIL banco 24 V;summary;10;11;2026-08-10;2026-08-23;2;4.1;100;Completada
5.1;Máquina de estados, E-stop e interlocks;task;10;11;2026-08-10;2026-08-23;2;4.1;100;Completada
5.2;Vista Banco 24 V y paquete documental pañol;task;11;11;2026-08-17;2026-08-23;1;5.1;100;Completada
5.3;Criterios SIL y pruebas de potencia simulada;task;11;11;2026-08-17;2026-08-23;1;5.1;100;Completada
F6;F6  Validación y evidencias TPA;summary;11;18;2026-08-17;2026-10-11;8;5.3;51;En curso
6.1;Suite de regresión y casos de demostración;task;11;12;2026-08-17;2026-08-30;2;"2.3; 3.3; 5.3";100;Completada
6.2;Informe de evidencias y límites declarados;task;12;12;2026-08-24;2026-08-30;1;6.1;100;Completada
6.3;Campaña pañol 24 V (KPS305D + GA1102CAL);task;12;18;2026-08-24;2026-10-11;7;5.2;30;En curso
F7;F7  Memoria técnica y defensa;summary;13;26;2026-08-31;2026-12-06;14;6.2;47;En curso
7.1;Borrador de memoria técnica (P09–P12);task;13;16;2026-08-31;2026-09-27;4;6.2;100;Completada
7.3;Presentación PPTX y banco de preguntas;task;16;17;2026-09-21;2026-10-04;2;7.1;100;Completada
7.2;Revisión del profesor guía y correcciones;task;17;21;2026-09-28;2026-11-01;5;7.1;0;Planificada
7.5;Guion y ensayo demo live (P16);task;22;24;2026-11-02;2026-11-22;3;"6.2; 7.3";50;En curso
7.4;Entrega final y defensa del TPA;task;25;26;2026-11-23;2026-12-06;2;"7.2; 7.3; 7.5";0;Planificada

hito;nombre;semana;fecha
M1;Alcance TPA congelado;2;2026-06-21
M2;TAN-Telecom operable;7;2026-07-26
M3;DSP validado con patrones;10;2026-08-16
M4;Plataforma de 3 vistas integrada;11;2026-08-21
M5;HIL SIL cerrado (sin salidas físicas);11;2026-08-21
M6;Paquete de evidencias TPA;11;2026-08-23
M7;Borrador de memoria;11;2026-08-23
M8;Defensa del TPA;26;2026-12-04
