proyecto,codigo,descripcion,cantidad,unidad,categoria,observaciones
TT-M-20260821-154033,ENV-XL3-800,Envolvente XL³ 800 IP55,1,u,Envolvente,In max 800.0 A
TT-M-20260821-154033,BAR-CU-MAIN,Juego de barras de cobre dimensionado a 250 A,1,juego,Barras,Icw ref. 25.0 kA
TT-M-20260821-154033,QG-MAIN,Interruptor/seccionador general 250 A,1,u,Aparatos,Redundancia N+1
TT-M-20260821-154033,KIT-FORM-3B,Kit de segregación interna Forma 3b,1,juego,Separación,"Plastrones, tabiques, canalizaciones de forma"
TT-M-20260821-154033,UF-RACK-OUT,Unidades funcionales / salidas a racks,8,u,Salidas,Protecciones por rack tipificadas
TT-M-20260821-154033,UF-CLIMA,Salida clima / ventilación,1,u,Salidas,
TT-M-20260821-154033,UF-UPS,Salida UPS / servicios críticos,1,u,Salidas,
TT-M-20260821-154033,UF-AUX,"Auxiliares (iluminación tablero, tomas de servicio)",1,u,Salidas,
TT-M-20260821-154033,BOR-EXT,Bornes para conductores externos + PE,1,juego,Conexionado,Zona de cables según forma a/b
TT-M-20260821-154033,ID-PLATE,Placa de características IEC 61439 + marcaje TAN-Telecom,1,u,Documentación,
TT-M-20260821-154033,DOC-PACK,"Paquete documental (unifilar, verificaciones, declaración)",1,u,Documentación,
TT-M-20260821-154033,COUPLER-OPT,Preparación acoplamiento / segunda acometida,1,u,Aparatos,Dual feed / reserva de columna
TT-M-20260821-154033,NEUTRO-SOBRE,Neutro sobredimensionado / atención a armónicos 3er orden,1,u,Barras,Buena práctica con cargas no lineales IT
